1.0	concept:physiologicalcondition	concept:disease
1.0	concept:airport	concept:building
1.0	concept:male	concept:agent
1.0	concept:professionalorganization	concept:humanagent
1.0	concept:street	concept:geolocatablething
1.0	concept:personcanada	concept:personnorthamerica
1.0	concept:politicsblog	concept:blog
1.0	concept:blog	concept:publication
0.7780678851174935	concept:location	concept:geolocatablething
1.0	concept:visualizableobject	concept:visualizablething
1.0	concept:actor	concept:humanagent
1.0	concept:terroristorganization	concept:humanagent
1.0	concept:company	concept:agent
1.0	concept:journalist	concept:agent
1.0	concept:bedroomitem	concept:householditem
1.0	concept:celebrity	concept:person
1.0	concept:software	concept:item
1.0	concept:stadiumoreventvenue	concept:building
1.0	concept:color	concept:visualizablething
1.0	concept:monument	concept:attraction
1.0	concept:food	concept:beverage
1.0	concept:bedroomitem	concept:item
1.0	concept:sportsgame	concept:sportsevent
1.0	concept:musicartist	concept:humanagent
1.0	concept:scientist	concept:agent
1.0	concept:criminal	concept:humanagent
1.0	concept:aquarium	concept:location
1.0	concept:airport	concept:location
1.0	concept:professionalorganization	concept:agent
1.0	concept:sportsteam	concept:humanagent
1.0	concept:museum	concept:building
1.0	concept:street	concept:location
1.0	concept:beverage	concept:food
1.0	concept:celebrity	concept:agent
1.0	concept:politicianus	concept:personnorthamerica
1.0	concept:biotechcompany	concept:humanagent
1.0	concept:humanagent	concept:agent
1.0	concept:coach	concept:person
1.0	concept:clothing	concept:item
1.0	concept:landscapefeatures	concept:visualizablething
1.0	concept:person	concept:humanagent
0.8543046357615894	concept:attraction	concept:stadiumoreventvenue
1.0	concept:museum	concept:location
1.0	concept:professor	concept:agent
0.9048582995951417	concept:visualizablething	concept:geolocatablething
1.0	concept:animal	concept:agent
1.0	concept:personmexico	concept:personnorthamerica
1.0	concept:sportsleague	concept:agent
0.9314079422382672	concept:geopoliticallocation	concept:geopoliticalorganization
1.0	concept:university	concept:agent
0.7547169811320755	concept:politician	concept:personnorthamerica
1.0	concept:school	concept:agent
1.0	concept:city	concept:geolocatablething
1.0	concept:beverage	concept:visualizablething
1.0	concept:city	concept:geopoliticalorganization
1.0	concept:food	concept:item
1.0	concept:beverage	concept:item
1.0	concept:musician	concept:humanagent
1.0	concept:beverage	concept:visualizableobject
1.0	concept:country	concept:agent
1.0	concept:reptile	concept:agent
0.8068592057761733	concept:geopoliticallocation	concept:visualizablescene
1.0	concept:politicsblog	concept:website
1.0	concept:river	concept:geolocatablething
1.0	concept:terroristorganization	concept:organization
1.0	concept:radiostation	concept:geolocatablething
0.7794561933534743	concept:building	concept:stadiumoreventvenue
1.0	concept:wallitem	concept:item
0.9719222462203023	concept:visualizablescene	concept:location
1.0	concept:politician	concept:person
1.0	concept:shoppingmall	concept:building
1.0	concept:politicianus	concept:agent
1.0	concept:landscapefeatures	concept:visualizablescene
1.0	concept:winery	concept:humanagent
1.0	concept:monument	concept:location
1.0	concept:stateorprovince	concept:geopoliticallocation
1.0	concept:month	concept:date
1.0	concept:city	concept:visualizablescene
1.0	concept:monument	concept:geolocatablething
1.0	concept:stadiumoreventvenue	concept:location
1.0	concept:museum	concept:attraction
1.0	concept:year	concept:date
1.0	concept:transportation	concept:attraction
1.0	concept:creditunion	concept:organization
1.0	concept:beach	concept:location
0.75	concept:visualizableattribute	concept:geometricshape
1.0	concept:shoppingmall	concept:geolocatablething
0.8068592057761733	concept:geopoliticallocation	concept:city
1.0	concept:city	concept:visualizablething
1.0	concept:hotel	concept:location
1.0	concept:winery	concept:organization
0.9654427645788337	concept:visualizablescene	concept:geopoliticallocation
1.0	concept:newspaper	concept:publication
1.0	concept:bridge	concept:location
1.0	concept:retailstore	concept:building
1.0	concept:port	concept:attraction
1.0	concept:ceo	concept:agent
0.9048582995951417	concept:visualizablething	concept:organization
1.0	concept:zoo	concept:attraction
1.0	concept:stateorprovince	concept:organization
1.0	concept:boardgame	concept:traditionalgame
1.0	concept:skiarea	concept:attraction
1.0	concept:musicinstrument	concept:visualizableobject
0.9654427645788337	concept:visualizablescene	concept:geopoliticalorganization
1.0	concept:politicsblog	concept:publication
1.0	concept:transportation	concept:location
1.0	concept:skyscraper	concept:building
1.0	concept:university	concept:organization
1.0	concept:shoppingmall	concept:location
1.0	concept:professor	concept:person
1.0	concept:geometricshape	concept:visualizableattribute
1.0	concept:disease	concept:physiologicalcondition
1.0	concept:politicianus	concept:humanagent
0.717815344603381	concept:geolocatablething	concept:organization
1.0	concept:stadiumoreventvenue	concept:attraction
1.0	concept:county	concept:agent
1.0	concept:school	concept:humanagent
1.0	concept:dayofweek	concept:date
1.0	concept:wine	concept:visualizablething
1.0	concept:country	concept:geolocatablething
1.0	concept:university	concept:school
1.0	concept:politicsblog	concept:location
1.0	concept:politicianus	concept:person
1.0	concept:vehicle	concept:visualizablething
1.0	concept:food	concept:visualizablething
1.0	concept:bird	concept:agent
1.0	concept:actor	concept:agent
1.0	concept:automobilemaker	concept:organization
1.0	concept:geometricshape	concept:visualizablething
1.0	concept:person	concept:agent
1.0	concept:airport	concept:geolocatablething
1.0	concept:country	concept:humanagent
1.0	concept:attraction	concept:location
1.0	concept:stateorprovince	concept:location
1.0	concept:sportsequipment	concept:visualizableobject
1.0	concept:country	concept:geopoliticalorganization
1.0	concept:automobilemaker	concept:humanagent
1.0	concept:biotechcompany	concept:company
1.0	concept:visualartist	concept:agent
1.0	concept:bank	concept:agent
1.0	concept:park	concept:attraction
0.921455938697318	concept:geopoliticalorganization	concept:geolocatablething
1.0	concept:buildingfeature	concept:item
1.0	concept:vertebrate	concept:agent
1.0	concept:householditem	concept:item
1.0	concept:videogamesystem	concept:consumerelectronicitem
1.0	concept:visualartist	concept:humanagent
1.0	concept:geopoliticalorganization	concept:organization
1.0	concept:sportsteam	concept:geolocatablething
1.0	concept:female	concept:humanagent
1.0	concept:coach	concept:agent
1.0	concept:wine	concept:item
1.0	concept:school	concept:organization
1.0	concept:celebrity	concept:humanagent
1.0	concept:professionalorganization	concept:organization
1.0	concept:scientist	concept:humanagent
1.0	concept:musician	concept:agent
0.7547169811320755	concept:politician	concept:politicianus
1.0	concept:male	concept:humanagent
1.0	concept:stateorprovince	concept:humanagent
1.0	concept:hotel	concept:geolocatablething
0.9654427645788337	concept:visualizablescene	concept:city
0.8068592057761733	concept:geopoliticallocation	concept:visualizablething
1.0	concept:website	concept:location
0.8563218390804598	concept:geopoliticalorganization	concept:city
0.9238410596026491	concept:attraction	concept:geolocatablething
1.0	concept:county	concept:humanagent
0.8563218390804598	concept:geopoliticalorganization	concept:visualizablescene
1.0	concept:invertebrate	concept:agent
1.0	concept:biotechcompany	concept:agent
1.0	concept:trainstation	concept:building
0.937246963562753	concept:visualizablething	concept:visualizablescene
1.0	concept:sportsleague	concept:humanagent
1.0	concept:city	concept:location
1.0	concept:mountainrange	concept:location
1.0	concept:sportsequipment	concept:item
1.0	concept:stateorprovince	concept:geolocatablething
1.0	concept:hotel	concept:building
0.9655172413793104	concept:school	concept:geolocatablething
1.0	concept:blog	concept:location
1.0	concept:county	concept:organization
1.0	concept:visualizablescene	concept:visualizablething
