concept:worksfor,2
concept:organizationhiredperson,2
concept:agentcollaborateswithagent,2
concept:agentcontrols,2
concept:subpartoforganization,2
concept:subpartof,2
concept:headquarteredin,2
concept:agentbelongstoorganization,2
concept:organizationheadquarteredincity,2
concept:organizationterminatedperson,2
concept:acquired,2
concept:companyeconomicsector,2
concept:televisionstationaffiliatedwith,2
concept:topmemberoforganization,2
concept:visualizablescene,1
concept:musicartist,1
concept:mldataset,1
concept:medicalprocedure,1
concept:researchproject,1
concept:university,1
concept:wine,1
concept:musicalbum,1
concept:automobilemodel,1
concept:website,1
concept:stateorprovince,1
concept:crimeorcharge,1
concept:musicinstrument,1
concept:geometricshape,1
concept:invertebrate,1
concept:sportsleague,1
concept:writer,1
concept:hobby,1
concept:roadaccidentevent,1
concept:visualartist,1
concept:male,1
concept:perceptionaction,1
concept:bone,1
concept:politician,1
concept:braintissue,1
concept:geopoliticalorganization,1
concept:televisionshow,1
concept:actor,1
concept:visualizablething,1
concept:country,1
concept:blog,1
concept:videogame,1
concept:currency,1
concept:election,1
concept:shoppingmall,1
concept:museum,1
concept:musician,1
concept:clothing,1
concept:chef,1
concept:location,1
concept:creditunion,1
concept:politicsissue,1
concept:newspaper,1
concept:park,1
concept:skiarea,1
concept:fruit,1
concept:trainstation,1
concept:automobilemaker,1
concept:buildingmaterial,1
concept:humanagent,1
concept:scientificterm,1
concept:vertebrate,1
concept:county,1
concept:recordlabel,1
concept:highway,1
concept:planet,1
concept:bank,1
concept:aquarium,1
concept:professionalorganization,1
concept:agriculturalproduct,1
concept:televisionstation,1
concept:publication,1
concept:governmentorganization,1
concept:vehicle,1
concept:year,1
concept:lake,1
concept:hallwayitem,1
concept:programminglanguage,1
concept:monarch,1
concept:beverage,1
concept:tradeunion,1
concept:traditionalgame,1
concept:sportsevent,1
concept:sportsteamposition,1
concept:mediatype,1
concept:televisionnetwork,1
concept:weatherphenomenon,1
concept:stadiumoreventvenue,1
concept:charactertrait,1
concept:sport,1
concept:company,1
concept:religion,1
concept:bodypart,1
concept:sportsgame,1
concept:physicalaction,1
concept:politicalparty,1
concept:buildingfeature,1
concept:filmfestival,1
concept:personasia,1
concept:animal,1
concept:profession,1
concept:software,1
concept:celebrity,1
concept:hospital,1
concept:legume,1
concept:person,1
concept:jobposition,1
concept:mountain,1
concept:river,1
concept:athlete,1
concept:biotechcompany,1
concept:personus,1
concept:geolocatablething,1
concept:perceptionevent,1
concept:geopoliticallocation,1
concept:personcanada,1
concept:comedian,1
concept:island,1
concept:candy,1
concept:criminal,1
concept:winery,1
concept:personaustralia,1
concept:boardgame,1
concept:scientist,1
concept:arthropod,1
concept:monument,1
concept:artery,1
concept:emotion,1
concept:insect,1
concept:bridge,1
concept:wallitem,1
concept:professor,1
concept:weapon,1
concept:musicsong,1
concept:food,1
concept:bedroomitem,1
concept:organization,1
concept:visualizableattribute,1
concept:fish,1
concept:landscapefeatures,1
concept:visualizableobject,1
concept:tableitem,1
concept:hotel,1
concept:bird,1
concept:nonneginteger,1
concept:airport,1
concept:attraction,1
concept:city,1
concept:item,1
concept:month,1
concept:retailstore,1
concept:academicfield,1
concept:personafrica,1
concept:product,1
concept:street,1
concept:journalist,1
concept:judge,1
concept:sociopolitical,1
concept:movie,1
concept:date,1
concept:personeurope,1
concept:mlauthor,1
concept:kitchenitem,1
concept:physicalcharacteristic,1
concept:sportsequipment,1
concept:videogamesystem,1
concept:mammal,1
concept:building,1
concept:sportsteam,1
concept:economicsector,1
concept:magazine,1
concept:personnorthamerica,1
concept:politicaloffice,1
concept:mlalgorithm,1
concept:officebuildingroom,1
concept:astronaut,1
concept:chemical,1
concept:ceo,1
concept:race,1
concept:bathroomitem,1
concept:dateliteral,1
concept:radiostation,1
concept:continent,1
concept:color,1
concept:terroristorganization,1
concept:visualartmovement,1
concept:politicianus,1
concept:conference,1
concept:school,1
concept:coach,1
concept:plant,1
concept:politicsblog,1
concept:agent,1
concept:personmexico,1
concept:female,1
concept:householditem,1
concept:nonprofitorganization,1
concept:book,1
concept:crustacean,1
concept:consumerelectronicitem,1
concept:mlconference,1
concept:room,1
concept:eventoutcome,1
concept:port,1
concept:beach,1
concept:director,1
concept:transportation,1
concept:nongovorganization,1
